bloomberg_ticker,yahoo,data_provider,signals_ticker
NXTL US,,eodhd,NXTL.US
SCC PM,,eodhd,SCC.PSE
DIOD US,DIOD,eodhd,DIOD.US
SPO AU,,eodhd,SPO.AU
SJ CN,SJ.TO,eodhd,SJ.TO
FLMN US,FLMN,eodhd,FLMN.US
SKX US,SKX,eodhd,SKX.US
FFCH US,,eodhd,FFCH.US
NPTN US,NPTN,eodhd,NPTN.US
1097 HK,,eodhd,1097.HK
LIO LN,,eodhd,LIO.LSE
FRME US,FRME,eodhd,FRME.US
CMM AU,CMM.AX,eodhd,CMM.AU
AIBG ID,A5G.IR,eodhd,A5G.IR
COG US,,eodhd,COG.US
YAZIC TI,,eodhd,YAZIC.IS
GALP PL,GALP.LS,eodhd,GALP.LS
DMND US,,eodhd,DMND.US
CXO US,,eodhd,CXO.US
BVIC LN,BVIC.L,eodhd,BVIC.LSE
HSN AU,HSN.AX,eodhd,HSN.AU
GFRD LN,,eodhd,GFRD.LSE
ETD US,ETH,eodhd,ETD.US
003850 KS,003850.KS,eodhd,003850.KQ
AGY US,,eodhd,AGY.US
VTY LN,VTY.L,eodhd,VTY.LSE
MISC MK,3816.KL,eodhd,3816.KLSE
MATR US,,eodhd,MATR.US
8954 JP,,yahoo,
PTEK US,,eodhd,PTEK.US
TRX/B US,,eodhd,TRX-B.US
QUAL3 BZ,QUAL3.SA,eodhd,QUAL3.SA
MSB AU,,eodhd,MSB.AU
IAE CN,,eodhd,IAE.TO
GIMB BB,,eodhd,GIMB.BR
VID SM,,eodhd,VID.MC
PFMT US,,eodhd,PFMT.US
SUCB MK,,eodhd,SUCB.KLSE
ISSX US,,eodhd,ISSX.US
079950 KS,,eodhd,079950.KQ
CSX US,CSX,eodhd,CSX.US
CLS CN,CLS.TO,eodhd,CLS.TO
FILE US,,eodhd,FILE.US
CSS US,,eodhd,CSS.US
VLID3 BZ,,eodhd,VLID3.SA
XRTX US,,eodhd,XRTX.US
8279 JP,8279.T,yahoo,8279.T
MSK IM,,eodhd,MSK.MI
ADXS US,,eodhd,ADXS.US
2975 JP,,yahoo,
6326 JP,6326.T,yahoo,6326.T
YEXT US,YEXT,eodhd,YEXT.US
HXL US,HXL,eodhd,HXL.US
DOU GR,,eodhd,DOU.XETRA
1051 HK,,eodhd,1051.HK
ARTG US,,eodhd,ARTG.US
6961 JP,,yahoo,
HZNP US,HZNP,eodhd,HZNP.US
CDLX US,CDLX,eodhd,CDLX.US
GRTS US,GRTS,eodhd,GRTS.US
2269 JP,2269.T,yahoo,2269.T
PLB US,,eodhd,PLB.US
ABTX US,ABTX,eodhd,ABTX.US
SGKN SW,,eodhd,SGKN.SW
ARES US,ARES,eodhd,ARES.US
OSR GR,,eodhd,OSR.XETRA
ISRAL IT,,eodhd,ISRA-L.TA
2280 HK,,eodhd,2280.HK
A060150 KS,,eodhd,060150.KQ
AREVA FP,,eodhd,AREVA.PA
NDLS US,NDLS,eodhd,NDLS.US
ABG US,ABG,eodhd,ABG.US
KTY PW,KTY.WA,eodhd,KTY.WAR
CF/U CN,,eodhd,CF/U.TO
RRX CN,,eodhd,RRX.TO
EMN US,EMN,eodhd,EMN.US
A036710 KS,,eodhd,036710.KQ
3091 JP,,yahoo,
BDB IM,,eodhd,BDB.MI
SIG AU,,eodhd,SIG.AU
AMTG US,,eodhd,AMTG.US
SWVK GR,,eodhd,SWVK.XETRA
1828 HK,,eodhd,1828.HK
CTD AU,CTD.AX,eodhd,CTD.AU
BELA GA,BELA.AT,eodhd,BELA.AT
TMA US,,eodhd,TMA.US
JML AU,,eodhd,JML.AU
PLY PW,,eodhd,PLY.WAR
6794 JP,,yahoo,
ITM IM,,eodhd,ITM.MI
1929 HK,1929.HK,eodhd,1929.HK
ALB US,ALB,eodhd,ALB.US
SFN US,,eodhd,SFN.US
PETD MK,5681.KL,eodhd,5681.KLSE
DEMANT DC,DEMANT.CO,eodhd,DEMANT.CO
UPONOR FH,UPONOR.HE,eodhd,UPONOR.HE
EVDY US,,eodhd,EVDY.US
GVC LN,,eodhd,GVC.LSE
PSI CN,,eodhd,PSI.TO
LINK NO,,eodhd,LINK.OL
